date_label,pair_label,buy_price,sell_price
2024-06-28,HKD-AED,1.92,2.19
2024-06-28,HKD-AUD,5.03,5.29
2024-06-28,HKD-CAD,5.56,5.81
2024-06-28,HKD-CHF,8.31,8.83
2024-06-28,HKD-CNY,0.947,0.935
2024-06-28,HKD-EUR,8.18,8.45
2024-06-28,HKD-GBP,9.68,9.99
2024-06-28,HKD-JPY,0.0475,0.04929
2024-06-28,HKD-KRW,0.0054,0.00568
2024-06-28,HKD-MYR,1.6,1.705
2024-06-28,HKD-NZD,4.58,4.85
2024-06-28,HKD-PHP,0.123,0.138
2024-06-28,HKD-SAR,1.95,2.148
2024-06-28,HKD-SGD,5.58,5.86
2024-06-28,HKD-THB,0.207,0.219
2024-06-28,HKD-USD,7.7,7.818
