date_label,pair_label,buy_price,sell_price
2024-06-28,HKD-AED,2.10,2.16
2024-06-28,HKD-AUD,5.14,5.21
2024-06-28,HKD-CAD,5.67,5.75
2024-06-28,HKD-CHF,8.62,8.72
2024-06-28,HKD-CNY,1.05932,1.07066
2024-06-28,HKD-EUR,8.31,8.39
2024-06-28,HKD-GBP,9.79,9.93
2024-06-28,HKD-JPY,0.0483,0.0489
2024-06-28,HKD-KRW,0.00555,0.00575
2024-06-28,HKD-MYR,1.64,1.70
2024-06-28,HKD-NZD,4.69,4.79
2024-06-28,HKD-PHP,0.130,0.136
2024-06-28,HKD-SAR,2.00,2.10
2024-06-28,HKD-SGD,5.71,5.79
2024-06-28,HKD-THB,0.210,0.218
2024-06-28,HKD-USD,7.77,7.81
